input,responses,tag
bye bye,Adios!,goodbye
bye bye,Toodles!,goodbye
bye bye,Bye-bye!,goodbye
bye bye,So long!,goodbye
bye bye,Hasta la vista!,goodbye
bye bye,Cheerio!,goodbye
bye bye,Looking forward to it!,goodbye
bye bye,Peace out!,goodbye
bye bye,Ciao for now!,goodbye
bye bye,"Bye, Felicia!",goodbye
bye bye,Can't wait!,goodbye
bye bye,"Goodbye, my friend!",goodbye
bye bye,See you soon!,goodbye
bye bye,Have a great day!,goodbye
bye bye,Arrivederci!,goodbye
bye bye,Auf Wiedersehen!,goodbye
bye bye,Adios amigo!,goodbye
bye bye,"Later, alligator!",goodbye
bye bye,"In a while, crocodile!",goodbye
bye bye,Safe travels!,goodbye
bye bye,"Take care, buddy!",goodbye
bye bye,Looking forward to our next encounter!,goodbye
bye bye,To infinity and beyond!,goodbye
bye bye,"Hasta la pizza, baby!",goodbye
bye bye,"Goodbye, farewell, and amen!",goodbye
bye bye,Geronimo!,goodbye
bye bye,See you in a jiffy!,goodbye
bye bye,Looking forward to it!,goodbye
bye bye,Until next time!,goodbye
bye bye,"Take care, my friend!",goodbye
bye bye,Till we meet in virtual reality!,goodbye
bye bye,Enjoy your day!,goodbye
bye bye,Au revoir!,goodbye
bye bye,Until the cows come home!,goodbye
bye bye,Keep it real!,goodbye
bye bye,Sayonara!,goodbye
bye bye,Hasta mañana!,goodbye
bye bye,Looking forward to catching up!,goodbye
bye bye,Out like a light!,goodbye
bye bye,Take a hike!,goodbye
bye bye,Toodle-oo!,goodbye
bye bye,"That's all, folks!",goodbye
bye bye,"Peace, love, and happiness!",goodbye
bye bye,Don't forget to keep in touch!,goodbye
bye bye,"Adios, compadre!",goodbye
bye bye,Until the next adventure!,goodbye
chla jaa bsdk,"Okay, bye",goodbye
chla jaa bsdk,haan haan jaa rha,goodbye
chla jaa bsdk,Goodbye,goodbye
chla jaa bsdk,Adios,goodbye
chla jaa bsdk,see you later,goodbye
chla jaa bsdk,Take care,goodbye
chla jaa bsdk,nice to help you!! bye,goodbye
chla jaa bsdk,Goodbye!,goodbye
chla jaa bsdk,Farewell!,goodbye
chla jaa bsdk,Take care!,goodbye
chla jaa bsdk,See you later!,goodbye
chla jaa bsdk,Until next time!,goodbye
chla jaa bsdk,Catch you later!,goodbye
chla jaa bsdk,Adios!,goodbye
chla jaa bsdk,Toodles!,goodbye
chla jaa bsdk,Bye-bye!,goodbye
chla jaa bsdk,So long!,goodbye
chla jaa bsdk,Hasta la vista!,goodbye
chla jaa bsdk,Cheerio!,goodbye
chla jaa bsdk,Looking forward to it!,goodbye
chla jaa bsdk,Peace out!,goodbye
chla jaa bsdk,Ciao for now!,goodbye
chla jaa bsdk,"Bye, Felicia!",goodbye
chla jaa bsdk,Can't wait!,goodbye
chla jaa bsdk,"Goodbye, my friend!",goodbye
chla jaa bsdk,See you soon!,goodbye
chla jaa bsdk,Have a great day!,goodbye
chla jaa bsdk,Arrivederci!,goodbye
chla jaa bsdk,Auf Wiedersehen!,goodbye
chla jaa bsdk,Adios amigo!,goodbye
chla jaa bsdk,"Later, alligator!",goodbye
chla jaa bsdk,"In a while, crocodile!",goodbye
chla jaa bsdk,Safe travels!,goodbye
chla jaa bsdk,"Take care, buddy!",goodbye
chla jaa bsdk,Looking forward to our next encounter!,goodbye
chla jaa bsdk,To infinity and beyond!,goodbye
chla jaa bsdk,"Hasta la pizza, baby!",goodbye
chla jaa bsdk,"Goodbye, farewell, and amen!",goodbye
chla jaa bsdk,Geronimo!,goodbye
chla jaa bsdk,See you in a jiffy!,goodbye
chla jaa bsdk,Looking forward to it!,goodbye
chla jaa bsdk,Until next time!,goodbye
chla jaa bsdk,"Take care, my friend!",goodbye
chla jaa bsdk,Till we meet in virtual reality!,goodbye
chla jaa bsdk,Enjoy your day!,goodbye
chla jaa bsdk,Au revoir!,goodbye
chla jaa bsdk,Until the cows come home!,goodbye
chla jaa bsdk,Keep it real!,goodbye
chla jaa bsdk,Sayonara!,goodbye
chla jaa bsdk,Hasta mañana!,goodbye
chla jaa bsdk,Looking forward to catching up!,goodbye
chla jaa bsdk,Out like a light!,goodbye
chla jaa bsdk,Take a hike!,goodbye
chla jaa bsdk,Toodle-oo!,goodbye
chla jaa bsdk,"That's all, folks!",goodbye
chla jaa bsdk,"Peace, love, and happiness!",goodbye
chla jaa bsdk,Don't forget to keep in touch!,goodbye
chla jaa bsdk,"Adios, compadre!",goodbye
chla jaa bsdk,Until the next adventure!,goodbye
Goodbye!,"Okay, bye",goodbye
Goodbye!,haan haan jaa rha,goodbye
Goodbye!,Goodbye,goodbye
Goodbye!,Adios,goodbye
Goodbye!,see you later,goodbye
Goodbye!,Take care,goodbye
Goodbye!,nice to help you!! bye,goodbye
Goodbye!,Goodbye!,goodbye
Goodbye!,Farewell!,goodbye
Goodbye!,Take care!,goodbye
Goodbye!,See you later!,goodbye
Goodbye!,Until next time!,goodbye
Goodbye!,Catch you later!,goodbye
Goodbye!,Adios!,goodbye
Goodbye!,Toodles!,goodbye
Goodbye!,Bye-bye!,goodbye
Goodbye!,So long!,goodbye
Goodbye!,Hasta la vista!,goodbye
Goodbye!,Cheerio!,goodbye
Goodbye!,Looking forward to it!,goodbye
Goodbye!,Peace out!,goodbye
Goodbye!,Ciao for now!,goodbye
Goodbye!,"Bye, Felicia!",goodbye
Goodbye!,Can't wait!,goodbye
Goodbye!,"Goodbye, my friend!",goodbye
Goodbye!,See you soon!,goodbye
Goodbye!,Have a great day!,goodbye
Goodbye!,Arrivederci!,goodbye
Goodbye!,Auf Wiedersehen!,goodbye
Goodbye!,Adios amigo!,goodbye
Goodbye!,"Later, alligator!",goodbye
Goodbye!,"In a while, crocodile!",goodbye
Goodbye!,Safe travels!,goodbye
Goodbye!,"Take care, buddy!",goodbye
Goodbye!,Looking forward to our next encounter!,goodbye
Goodbye!,To infinity and beyond!,goodbye
Goodbye!,"Hasta la pizza, baby!",goodbye
Goodbye!,"Goodbye, farewell, and amen!",goodbye
Goodbye!,Geronimo!,goodbye
Goodbye!,See you in a jiffy!,goodbye
Goodbye!,Looking forward to it!,goodbye
Goodbye!,Until next time!,goodbye
Goodbye!,"Take care, my friend!",goodbye
Goodbye!,Till we meet in virtual reality!,goodbye
Goodbye!,Enjoy your day!,goodbye
Goodbye!,Au revoir!,goodbye
Goodbye!,Until the cows come home!,goodbye
Goodbye!,Keep it real!,goodbye
Goodbye!,Sayonara!,goodbye
Goodbye!,Hasta mañana!,goodbye
Goodbye!,Looking forward to catching up!,goodbye
Goodbye!,Out like a light!,goodbye
Goodbye!,Take a hike!,goodbye
Goodbye!,Toodle-oo!,goodbye
Goodbye!,"That's all, folks!",goodbye
Goodbye!,"Peace, love, and happiness!",goodbye
Goodbye!,Don't forget to keep in touch!,goodbye
Goodbye!,"Adios, compadre!",goodbye
Goodbye!,Until the next adventure!,goodbye
Farewell!,"Okay, bye",goodbye
Farewell!,haan haan jaa rha,goodbye
Farewell!,Goodbye,goodbye
Farewell!,Adios,goodbye
Farewell!,see you later,goodbye
Farewell!,Take care,goodbye
Farewell!,nice to help you!! bye,goodbye
Farewell!,Goodbye!,goodbye
Farewell!,Farewell!,goodbye
Farewell!,Take care!,goodbye
Farewell!,See you later!,goodbye
Farewell!,Until next time!,goodbye
Farewell!,Catch you later!,goodbye
Farewell!,Adios!,goodbye
Farewell!,Toodles!,goodbye
Farewell!,Bye-bye!,goodbye
Farewell!,So long!,goodbye
Farewell!,Hasta la vista!,goodbye
Farewell!,Cheerio!,goodbye
Farewell!,Looking forward to it!,goodbye
Farewell!,Peace out!,goodbye
Farewell!,Ciao for now!,goodbye
Farewell!,"Bye, Felicia!",goodbye
Farewell!,Can't wait!,goodbye
Farewell!,"Goodbye, my friend!",goodbye
Farewell!,See you soon!,goodbye
Farewell!,Have a great day!,goodbye
Farewell!,Arrivederci!,goodbye
Farewell!,Auf Wiedersehen!,goodbye
Farewell!,Adios amigo!,goodbye
Farewell!,"Later, alligator!",goodbye
Farewell!,"In a while, crocodile!",goodbye
Farewell!,Safe travels!,goodbye
Farewell!,"Take care, buddy!",goodbye
Farewell!,Looking forward to our next encounter!,goodbye
Farewell!,To infinity and beyond!,goodbye
Farewell!,"Hasta la pizza, baby!",goodbye
Farewell!,"Goodbye, farewell, and amen!",goodbye
Farewell!,Geronimo!,goodbye
Farewell!,See you in a jiffy!,goodbye
Farewell!,Looking forward to it!,goodbye
Farewell!,Until next time!,goodbye
Farewell!,"Take care, my friend!",goodbye
Farewell!,Till we meet in virtual reality!,goodbye
Farewell!,Enjoy your day!,goodbye
Farewell!,Au revoir!,goodbye
Farewell!,Until the cows come home!,goodbye
Farewell!,Keep it real!,goodbye
Farewell!,Sayonara!,goodbye
Farewell!,Hasta mañana!,goodbye
Farewell!,Looking forward to catching up!,goodbye
Farewell!,Out like a light!,goodbye
Farewell!,Take a hike!,goodbye
Farewell!,Toodle-oo!,goodbye
Farewell!,"That's all, folks!",goodbye
Farewell!,"Peace, love, and happiness!",goodbye
Farewell!,Don't forget to keep in touch!,goodbye
Farewell!,"Adios, compadre!",goodbye
Farewell!,Until the next adventure!,goodbye
Take care!,"Okay, bye",goodbye
Take care!,haan haan jaa rha,goodbye
Take care!,Goodbye,goodbye
Take care!,Adios,goodbye
Take care!,see you later,goodbye
Take care!,Take care,goodbye
Take care!,nice to help you!! bye,goodbye
Take care!,Goodbye!,goodbye
Take care!,Farewell!,goodbye
Take care!,Take care!,goodbye
Take care!,See you later!,goodbye
Take care!,Until next time!,goodbye
Take care!,Catch you later!,goodbye
Take care!,Adios!,goodbye
Take care!,Toodles!,goodbye
Take care!,Bye-bye!,goodbye
Take care!,So long!,goodbye
Take care!,Hasta la vista!,goodbye
Take care!,Cheerio!,goodbye
Take care!,Looking forward to it!,goodbye
Take care!,Peace out!,goodbye
Take care!,Ciao for now!,goodbye
Take care!,"Bye, Felicia!",goodbye
Take care!,Can't wait!,goodbye
Take care!,"Goodbye, my friend!",goodbye
Take care!,See you soon!,goodbye
Take care!,Have a great day!,goodbye
Take care!,Arrivederci!,goodbye
Take care!,Auf Wiedersehen!,goodbye
Take care!,Adios amigo!,goodbye
Take care!,"Later, alligator!",goodbye
Take care!,"In a while, crocodile!",goodbye
Take care!,Safe travels!,goodbye
Take care!,"Take care, buddy!",goodbye
Take care!,Looking forward to our next encounter!,goodbye
Take care!,To infinity and beyond!,goodbye
Take care!,"Hasta la pizza, baby!",goodbye
Take care!,"Goodbye, farewell, and amen!",goodbye
Take care!,Geronimo!,goodbye
Take care!,See you in a jiffy!,goodbye
Take care!,Looking forward to it!,goodbye
Take care!,Until next time!,goodbye
Take care!,"Take care, my friend!",goodbye
Take care!,Till we meet in virtual reality!,goodbye
Take care!,Enjoy your day!,goodbye
Take care!,Au revoir!,goodbye
Take care!,Until the cows come home!,goodbye
Take care!,Keep it real!,goodbye
Take care!,Sayonara!,goodbye
Take care!,Hasta mañana!,goodbye
Take care!,Looking forward to catching up!,goodbye
Take care!,Out like a light!,goodbye
Take care!,Take a hike!,goodbye
Take care!,Toodle-oo!,goodbye
Take care!,"That's all, folks!",goodbye
Take care!,"Peace, love, and happiness!",goodbye
Take care!,Don't forget to keep in touch!,goodbye
Take care!,"Adios, compadre!",goodbye
Take care!,Until the next adventure!,goodbye
See you later!,"Okay, bye",goodbye
See you later!,haan haan jaa rha,goodbye
See you later!,Goodbye,goodbye
See you later!,Adios,goodbye
See you later!,see you later,goodbye
See you later!,Take care,goodbye
See you later!,nice to help you!! bye,goodbye
See you later!,Goodbye!,goodbye
See you later!,Farewell!,goodbye
See you later!,Take care!,goodbye
See you later!,See you later!,goodbye
See you later!,Until next time!,goodbye
See you later!,Catch you later!,goodbye
See you later!,Adios!,goodbye
See you later!,Toodles!,goodbye
See you later!,Bye-bye!,goodbye
See you later!,So long!,goodbye
See you later!,Hasta la vista!,goodbye
See you later!,Cheerio!,goodbye
See you later!,Looking forward to it!,goodbye
See you later!,Peace out!,goodbye
See you later!,Ciao for now!,goodbye
See you later!,"Bye, Felicia!",goodbye
See you later!,Can't wait!,goodbye
See you later!,"Goodbye, my friend!",goodbye
See you later!,See you soon!,goodbye
See you later!,Have a great day!,goodbye
See you later!,Arrivederci!,goodbye
See you later!,Auf Wiedersehen!,goodbye
See you later!,Adios amigo!,goodbye
See you later!,"Later, alligator!",goodbye
See you later!,"In a while, crocodile!",goodbye
See you later!,Safe travels!,goodbye
See you later!,"Take care, buddy!",goodbye
See you later!,Looking forward to our next encounter!,goodbye
See you later!,To infinity and beyond!,goodbye
See you later!,"Hasta la pizza, baby!",goodbye
See you later!,"Goodbye, farewell, and amen!",goodbye
See you later!,Geronimo!,goodbye
See you later!,See you in a jiffy!,goodbye
See you later!,Looking forward to it!,goodbye
See you later!,Until next time!,goodbye
See you later!,"Take care, my friend!",goodbye
See you later!,Till we meet in virtual reality!,goodbye
See you later!,Enjoy your day!,goodbye
See you later!,Au revoir!,goodbye
See you later!,Until the cows come home!,goodbye
See you later!,Keep it real!,goodbye
See you later!,Sayonara!,goodbye
See you later!,Hasta mañana!,goodbye
See you later!,Looking forward to catching up!,goodbye
See you later!,Out like a light!,goodbye
See you later!,Take a hike!,goodbye
See you later!,Toodle-oo!,goodbye
See you later!,"That's all, folks!",goodbye
See you later!,"Peace, love, and happiness!",goodbye
See you later!,Don't forget to keep in touch!,goodbye
See you later!,"Adios, compadre!",goodbye
See you later!,Until the next adventure!,goodbye
Until we meet again!,"Okay, bye",goodbye
Until we meet again!,haan haan jaa rha,goodbye
Until we meet again!,Goodbye,goodbye
Until we meet again!,Adios,goodbye
Until we meet again!,see you later,goodbye
Until we meet again!,Take care,goodbye
Until we meet again!,nice to help you!! bye,goodbye
Until we meet again!,Goodbye!,goodbye
Until we meet again!,Farewell!,goodbye
Until we meet again!,Take care!,goodbye
Until we meet again!,See you later!,goodbye
Until we meet again!,Until next time!,goodbye
Until we meet again!,Catch you later!,goodbye
Until we meet again!,Adios!,goodbye
Until we meet again!,Toodles!,goodbye
Until we meet again!,Bye-bye!,goodbye
Until we meet again!,So long!,goodbye
Until we meet again!,Hasta la vista!,goodbye
Until we meet again!,Cheerio!,goodbye
Until we meet again!,Looking forward to it!,goodbye
Until we meet again!,Peace out!,goodbye
Until we meet again!,Ciao for now!,goodbye
Until we meet again!,"Bye, Felicia!",goodbye
Until we meet again!,Can't wait!,goodbye
Until we meet again!,"Goodbye, my friend!",goodbye
Until we meet again!,See you soon!,goodbye
Until we meet again!,Have a great day!,goodbye
Until we meet again!,Arrivederci!,goodbye
Until we meet again!,Auf Wiedersehen!,goodbye
Until we meet again!,Adios amigo!,goodbye
Until we meet again!,"Later, alligator!",goodbye
Until we meet again!,"In a while, crocodile!",goodbye
Until we meet again!,Safe travels!,goodbye
Until we meet again!,"Take care, buddy!",goodbye
Until we meet again!,Looking forward to our next encounter!,goodbye
Until we meet again!,To infinity and beyond!,goodbye
Until we meet again!,"Hasta la pizza, baby!",goodbye
Until we meet again!,"Goodbye, farewell, and amen!",goodbye
Until we meet again!,Geronimo!,goodbye
Until we meet again!,See you in a jiffy!,goodbye
Until we meet again!,Looking forward to it!,goodbye
Until we meet again!,Until next time!,goodbye
Until we meet again!,"Take care, my friend!",goodbye
Until we meet again!,Till we meet in virtual reality!,goodbye
Until we meet again!,Enjoy your day!,goodbye
Until we meet again!,Au revoir!,goodbye
Until we meet again!,Until the cows come home!,goodbye
Until we meet again!,Keep it real!,goodbye
Until we meet again!,Sayonara!,goodbye
Until we meet again!,Hasta mañana!,goodbye
Until we meet again!,Looking forward to catching up!,goodbye
Until we meet again!,Out like a light!,goodbye
Until we meet again!,Take a hike!,goodbye
Until we meet again!,Toodle-oo!,goodbye
Until we meet again!,"That's all, folks!",goodbye
Until we meet again!,"Peace, love, and happiness!",goodbye
Until we meet again!,Don't forget to keep in touch!,goodbye
Until we meet again!,"Adios, compadre!",goodbye
Until we meet again!,Until the next adventure!,goodbye
Catch you later!,"Okay, bye",goodbye
Catch you later!,haan haan jaa rha,goodbye
Catch you later!,Goodbye,goodbye
Catch you later!,Adios,goodbye
Catch you later!,see you later,goodbye
Catch you later!,Take care,goodbye
Catch you later!,nice to help you!! bye,goodbye
Catch you later!,Goodbye!,goodbye
Catch you later!,Farewell!,goodbye
Catch you later!,Take care!,goodbye
Catch you later!,See you later!,goodbye
Catch you later!,Until next time!,goodbye
Catch you later!,Catch you later!,goodbye
Catch you later!,Adios!,goodbye
Catch you later!,Toodles!,goodbye
Catch you later!,Bye-bye!,goodbye
Catch you later!,So long!,goodbye
Catch you later!,Hasta la vista!,goodbye
Catch you later!,Cheerio!,goodbye
Catch you later!,Looking forward to it!,goodbye
Catch you later!,Peace out!,goodbye
Catch you later!,Ciao for now!,goodbye
Catch you later!,"Bye, Felicia!",goodbye
Catch you later!,Can't wait!,goodbye
Catch you later!,"Goodbye, my friend!",goodbye
Catch you later!,See you soon!,goodbye
Catch you later!,Have a great day!,goodbye
Catch you later!,Arrivederci!,goodbye
Catch you later!,Auf Wiedersehen!,goodbye
Catch you later!,Adios amigo!,goodbye
Catch you later!,"Later, alligator!",goodbye
Catch you later!,"In a while, crocodile!",goodbye
Catch you later!,Safe travels!,goodbye
Catch you later!,"Take care, buddy!",goodbye
Catch you later!,Looking forward to our next encounter!,goodbye
Catch you later!,To infinity and beyond!,goodbye
Catch you later!,"Hasta la pizza, baby!",goodbye
Catch you later!,"Goodbye, farewell, and amen!",goodbye
Catch you later!,Geronimo!,goodbye
Catch you later!,See you in a jiffy!,goodbye
Catch you later!,Looking forward to it!,goodbye
Catch you later!,Until next time!,goodbye
Catch you later!,"Take care, my friend!",goodbye
Catch you later!,Till we meet in virtual reality!,goodbye
Catch you later!,Enjoy your day!,goodbye
Catch you later!,Au revoir!,goodbye
Catch you later!,Until the cows come home!,goodbye
Catch you later!,Keep it real!,goodbye
Catch you later!,Sayonara!,goodbye
Catch you later!,Hasta mañana!,goodbye
Catch you later!,Looking forward to catching up!,goodbye
Catch you later!,Out like a light!,goodbye
Catch you later!,Take a hike!,goodbye
Catch you later!,Toodle-oo!,goodbye
Catch you later!,"That's all, folks!",goodbye
Catch you later!,"Peace, love, and happiness!",goodbye
Catch you later!,Don't forget to keep in touch!,goodbye
Catch you later!,"Adios, compadre!",goodbye
Catch you later!,Until the next adventure!,goodbye
Adios!,"Okay, bye",goodbye
Adios!,haan haan jaa rha,goodbye
Adios!,Goodbye,goodbye
Adios!,Adios,goodbye
Adios!,see you later,goodbye
Adios!,Take care,goodbye
Adios!,nice to help you!! bye,goodbye
Adios!,Goodbye!,goodbye
Adios!,Farewell!,goodbye
Adios!,Take care!,goodbye
Adios!,See you later!,goodbye
Adios!,Until next time!,goodbye
Adios!,Catch you later!,goodbye
Adios!,Adios!,goodbye
Adios!,Toodles!,goodbye
Adios!,Bye-bye!,goodbye
Adios!,So long!,goodbye
Adios!,Hasta la vista!,goodbye
Adios!,Cheerio!,goodbye
Adios!,Looking forward to it!,goodbye
Adios!,Peace out!,goodbye
Adios!,Ciao for now!,goodbye
Adios!,"Bye, Felicia!",goodbye
Adios!,Can't wait!,goodbye
Adios!,"Goodbye, my friend!",goodbye
Adios!,See you soon!,goodbye
Adios!,Have a great day!,goodbye
Adios!,Arrivederci!,goodbye
Adios!,Auf Wiedersehen!,goodbye
Adios!,Adios amigo!,goodbye
Adios!,"Later, alligator!",goodbye
Adios!,"In a while, crocodile!",goodbye
Adios!,Safe travels!,goodbye
Adios!,"Take care, buddy!",goodbye
Adios!,Looking forward to our next encounter!,goodbye
Adios!,To infinity and beyond!,goodbye
Adios!,"Hasta la pizza, baby!",goodbye
Adios!,"Goodbye, farewell, and amen!",goodbye
Adios!,Geronimo!,goodbye
Adios!,See you in a jiffy!,goodbye
Adios!,Looking forward to it!,goodbye
Adios!,Until next time!,goodbye
Adios!,"Take care, my friend!",goodbye
Adios!,Till we meet in virtual reality!,goodbye
Adios!,Enjoy your day!,goodbye
Adios!,Au revoir!,goodbye
Adios!,Until the cows come home!,goodbye
Adios!,Keep it real!,goodbye
Adios!,Sayonara!,goodbye
Adios!,Hasta mañana!,goodbye
Adios!,Looking forward to catching up!,goodbye
Adios!,Out like a light!,goodbye
Adios!,Take a hike!,goodbye
Adios!,Toodle-oo!,goodbye
Adios!,"That's all, folks!",goodbye
Adios!,"Peace, love, and happiness!",goodbye
Adios!,Don't forget to keep in touch!,goodbye
Adios!,"Adios, compadre!",goodbye
Adios!,Until the next adventure!,goodbye
Toodles!,"Okay, bye",goodbye
Toodles!,haan haan jaa rha,goodbye
Toodles!,Goodbye,goodbye
Toodles!,Adios,goodbye
Toodles!,see you later,goodbye
Toodles!,Take care,goodbye
Toodles!,nice to help you!! bye,goodbye
Toodles!,Goodbye!,goodbye
Toodles!,Farewell!,goodbye
Toodles!,Take care!,goodbye
Toodles!,See you later!,goodbye
Toodles!,Until next time!,goodbye
Toodles!,Catch you later!,goodbye
Toodles!,Adios!,goodbye
Toodles!,Toodles!,goodbye
Toodles!,Bye-bye!,goodbye
Toodles!,So long!,goodbye
Toodles!,Hasta la vista!,goodbye
Toodles!,Cheerio!,goodbye
Toodles!,Looking forward to it!,goodbye
Toodles!,Peace out!,goodbye
Toodles!,Ciao for now!,goodbye
Toodles!,"Bye, Felicia!",goodbye
Toodles!,Can't wait!,goodbye
Toodles!,"Goodbye, my friend!",goodbye
Toodles!,See you soon!,goodbye
Toodles!,Have a great day!,goodbye
Toodles!,Arrivederci!,goodbye
Toodles!,Auf Wiedersehen!,goodbye
Toodles!,Adios amigo!,goodbye
Toodles!,"Later, alligator!",goodbye
Toodles!,"In a while, crocodile!",goodbye
Toodles!,Safe travels!,goodbye
Toodles!,"Take care, buddy!",goodbye
Toodles!,Looking forward to our next encounter!,goodbye
Toodles!,To infinity and beyond!,goodbye
Toodles!,"Hasta la pizza, baby!",goodbye
Toodles!,"Goodbye, farewell, and amen!",goodbye
Toodles!,Geronimo!,goodbye
Toodles!,See you in a jiffy!,goodbye
Toodles!,Looking forward to it!,goodbye
Toodles!,Until next time!,goodbye
Toodles!,"Take care, my friend!",goodbye
Toodles!,Till we meet in virtual reality!,goodbye
Toodles!,Enjoy your day!,goodbye
Toodles!,Au revoir!,goodbye
Toodles!,Until the cows come home!,goodbye
Toodles!,Keep it real!,goodbye
Toodles!,Sayonara!,goodbye
Toodles!,Hasta mañana!,goodbye
Toodles!,Looking forward to catching up!,goodbye
Toodles!,Out like a light!,goodbye
Toodles!,Take a hike!,goodbye
Toodles!,Toodle-oo!,goodbye
Toodles!,"That's all, folks!",goodbye
Toodles!,"Peace, love, and happiness!",goodbye
Toodles!,Don't forget to keep in touch!,goodbye
Toodles!,"Adios, compadre!",goodbye
Toodles!,Until the next adventure!,goodbye
Bye-bye!,"Okay, bye",goodbye
Bye-bye!,haan haan jaa rha,goodbye
Bye-bye!,Goodbye,goodbye
Bye-bye!,Adios,goodbye
Bye-bye!,see you later,goodbye
Bye-bye!,Take care,goodbye
Bye-bye!,nice to help you!! bye,goodbye
Bye-bye!,Goodbye!,goodbye
Bye-bye!,Farewell!,goodbye
Bye-bye!,Take care!,goodbye
Bye-bye!,See you later!,goodbye
Bye-bye!,Until next time!,goodbye
Bye-bye!,Catch you later!,goodbye
Bye-bye!,Adios!,goodbye
Bye-bye!,Toodles!,goodbye
Bye-bye!,Bye-bye!,goodbye
Bye-bye!,So long!,goodbye
Bye-bye!,Hasta la vista!,goodbye
Bye-bye!,Cheerio!,goodbye
Bye-bye!,Looking forward to it!,goodbye
Bye-bye!,Peace out!,goodbye
Bye-bye!,Ciao for now!,goodbye
Bye-bye!,"Bye, Felicia!",goodbye
Bye-bye!,Can't wait!,goodbye
Bye-bye!,"Goodbye, my friend!",goodbye
Bye-bye!,See you soon!,goodbye
Bye-bye!,Have a great day!,goodbye
Bye-bye!,Arrivederci!,goodbye
Bye-bye!,Auf Wiedersehen!,goodbye
Bye-bye!,Adios amigo!,goodbye
Bye-bye!,"Later, alligator!",goodbye
Bye-bye!,"In a while, crocodile!",goodbye
Bye-bye!,Safe travels!,goodbye
Bye-bye!,"Take care, buddy!",goodbye
Bye-bye!,Looking forward to our next encounter!,goodbye
Bye-bye!,To infinity and beyond!,goodbye
Bye-bye!,"Hasta la pizza, baby!",goodbye
Bye-bye!,"Goodbye, farewell, and amen!",goodbye
Bye-bye!,Geronimo!,goodbye
Bye-bye!,See you in a jiffy!,goodbye
Bye-bye!,Looking forward to it!,goodbye
Bye-bye!,Until next time!,goodbye
Bye-bye!,"Take care, my friend!",goodbye
Bye-bye!,Till we meet in virtual reality!,goodbye
Bye-bye!,Enjoy your day!,goodbye
Bye-bye!,Au revoir!,goodbye
Bye-bye!,Until the cows come home!,goodbye
Bye-bye!,Keep it real!,goodbye
Bye-bye!,Sayonara!,goodbye
Bye-bye!,Hasta mañana!,goodbye
Bye-bye!,Looking forward to catching up!,goodbye
Bye-bye!,Out like a light!,goodbye
Bye-bye!,Take a hike!,goodbye
Bye-bye!,Toodle-oo!,goodbye
Bye-bye!,"That's all, folks!",goodbye
Bye-bye!,"Peace, love, and happiness!",goodbye
Bye-bye!,Don't forget to keep in touch!,goodbye
Bye-bye!,"Adios, compadre!",goodbye
Bye-bye!,Until the next adventure!,goodbye
So long!,"Okay, bye",goodbye
So long!,haan haan jaa rha,goodbye
So long!,Goodbye,goodbye
So long!,Adios,goodbye
So long!,see you later,goodbye
So long!,Take care,goodbye
So long!,nice to help you!! bye,goodbye
So long!,Goodbye!,goodbye
So long!,Farewell!,goodbye
So long!,Take care!,goodbye
So long!,See you later!,goodbye
So long!,Until next time!,goodbye
So long!,Catch you later!,goodbye
So long!,Adios!,goodbye
So long!,Toodles!,goodbye
So long!,Bye-bye!,goodbye
So long!,So long!,goodbye
So long!,Hasta la vista!,goodbye
So long!,Cheerio!,goodbye
So long!,Looking forward to it!,goodbye
So long!,Peace out!,goodbye
So long!,Ciao for now!,goodbye
So long!,"Bye, Felicia!",goodbye
So long!,Can't wait!,goodbye
So long!,"Goodbye, my friend!",goodbye
So long!,See you soon!,goodbye
So long!,Have a great day!,goodbye
So long!,Arrivederci!,goodbye
So long!,Auf Wiedersehen!,goodbye
So long!,Adios amigo!,goodbye
So long!,"Later, alligator!",goodbye
So long!,"In a while, crocodile!",goodbye
So long!,Safe travels!,goodbye
So long!,"Take care, buddy!",goodbye
So long!,Looking forward to our next encounter!,goodbye
So long!,To infinity and beyond!,goodbye
So long!,"Hasta la pizza, baby!",goodbye
So long!,"Goodbye, farewell, and amen!",goodbye
So long!,Geronimo!,goodbye
So long!,See you in a jiffy!,goodbye
So long!,Looking forward to it!,goodbye
So long!,Until next time!,goodbye
So long!,"Take care, my friend!",goodbye
So long!,Till we meet in virtual reality!,goodbye
So long!,Enjoy your day!,goodbye
So long!,Au revoir!,goodbye
So long!,Until the cows come home!,goodbye
So long!,Keep it real!,goodbye
So long!,Sayonara!,goodbye
So long!,Hasta mañana!,goodbye
So long!,Looking forward to catching up!,goodbye
So long!,Out like a light!,goodbye
So long!,Take a hike!,goodbye
So long!,Toodle-oo!,goodbye
So long!,"That's all, folks!",goodbye
So long!,"Peace, love, and happiness!",goodbye
So long!,Don't forget to keep in touch!,goodbye
So long!,"Adios, compadre!",goodbye
So long!,Until the next adventure!,goodbye
"Hasta la vista, baby!","Okay, bye",goodbye
"Hasta la vista, baby!",haan haan jaa rha,goodbye
"Hasta la vista, baby!",Goodbye,goodbye
"Hasta la vista, baby!",Adios,goodbye
"Hasta la vista, baby!",see you later,goodbye
"Hasta la vista, baby!",Take care,goodbye
"Hasta la vista, baby!",nice to help you!! bye,goodbye
"Hasta la vista, baby!",Goodbye!,goodbye
"Hasta la vista, baby!",Farewell!,goodbye
